no,CANT,NOM_CO,NOM_CI,H,DB,DN,DC,COB,BIO,C
1,1,Aguacate ,Persea americana Mill.,7.5,35,25,8,50.266,95.438,47.719
2,1,Aguacate ,Persea americana Mill.,9,30,20,6,28.274,73.296,36.648
3,1,Aguacate ,Persea americana Mill.,1.5,6,4.5,1.8,2.545,0.618,0.309
4,1,Aguacate ,Persea americana Mill.,2.8,9,6.5,2.5,4.909,2.409,1.204
5,1,Aguacate ,Persea americana Mill.,3.9,12,8,3.2,8.042,5.082,2.541
6,1,Aguacate ,Persea americana Mill.,6,16,12,5,19.635,17.591,8.796
7,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,30,45,37,10,78.54,597.298,298.649
8,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,12.5,22.3,18.7,4.5,15.904,64.645,32.322
9,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,15.2,25.1,20.4,5.2,21.237,92.446,46.223
10,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,10.8,19.5,16.3,3.8,11.341,43.275,21.638
11,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,18,28.7,22.1,5.9,27.34,127.595,63.798
12,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,14.3,24,19.8,4.9,18.857,82.208,41.104
13,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,11.6,21.2,17.5,4.2,13.854,53.002,26.501
14,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,16.7,26.3,21,5.5,23.758,107.245,53.622
15,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,13.9,23.4,19.1,4.7,17.349,74.595,37.297
16,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,17.5,27.5,21.8,5.8,26.421,120.82,60.41
17,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,12,20.8,17,4,12.566,51.799,25.9
18,1,Aguardientillo,Cordia alliodora (Ruiz & Pav.) Oken,19.2,30,23.5,6.2,30.191,153.497,76.749
