sitios,n,h,D1(cm),D2(cm),Dp,H2,DP2,DPH,DP2H,DPH2,PFH,PFT,PFTT,PSFH,PSFT,PSFTT
1,1,18,37,27,32,324,1024,576,18432,10368,30,40,70,3.136,31.535,34.671
1,2,25,18,17,17.5,625,306.25,437.5,7656.25,10937.5,20,40,60,3.267,31.309,34.576
1,3,45,51,37,44,2025,1936,1980,87120,89100,45,50,95,9.138,28.681,37.819
1,4,78,118,104,111,6084,12321,8658,961038,675324,280,695,975,67.745,592.462,660.207
1,5,97,135,105,120,9409,14400,11640,1396800,1129080,365,655,1020,66.261,592.6,658.861
1,6,102,168,153,160.5,10404,25760.25,16371,2627545.5,1669842,750,1890,2640,110,1861.506,2101.33
1,7,129,190,181,185.5,16641,34410.25,23929.5,4438922.25,3086905.5,475,2370,2845,126.489,2147.775,2274.264
1,8,150,160,148,154,22500,23716,23100,3557400,3465000,790,2625,3415,154,2390.03,2631.129
1,9,170,165,160,162.5,28900,26406.25,27625,4489062.5,4696250,605,2645,3250,188.392,2328.98,2517.372
1,10,190,200,190,195,36100,38025,37050,7224750,7039500,465,2615,3080,168.891,2120.486,2289.377
1,11,260,290,198,244,67600,59536,63440,15479360,16494400,490,5305,5795,201.324,4454.693,4603.593
2,1,17,25,23,24,289,576,408,9792,6936,5,10,15,1.32,2.817,3.638
2,2,37,46,34,40,1369,1600,1480,59200,54760,10,25,35,3.254,23.727,26.981
2,3,45,80,52,66,2025,4356,2970,196020,133650,15,50,65,6.414,49.776,56.19
2,4,70,69,60,64.5,4900,4160.25,4515,291217.5,316050,55,135,190,14.759,104.446,119.205
2,5,89,136,115,125.5,7921,15750.25,11169.5,1401772.25,994085.5,165,545,710,54.252,484.524,538.776
2,6,108,160,141,150.5,11664,22650.25,16254,2446227,1755432,235,975,1210,57.026,848.513,905.539
2,7,130,130,118,124,16900,15376,16120,1998880,2095600,235,1090,1325,45.397,981.923,1027.32
2,8,154,140,120,130,23716,16900,20020,2602600,3083080,210,935,1145,65.895,860.501,926.396
2,9,163,137,114,125.5,26569,15750.25,20456.5,2567290.75,3334409.5,110,775,885,124.324,1345.121,662.536
2,10,196,210,208,209,38416,43681,40964,8561476,8028944,585,5330,5915,122.413,4345.435,4704.293
2,11,206,160,150,155,42436,24025,31930,4949150,6577580,280,2775,3055,87.364,2272.483,2359.847
3,1,15,33,30,31.5,225,992.25,472.5,14883.75,7087.5,35,80,115,8.56,24.342,48.409
3,2,35,63,42,52.5,1225,2756.25,1837.5,96468.75,64312.5,35,90,125,10.13,58.963,69.093
3,3,60,80,75,77.5,3600,6006.25,4650,360375,279000,90,285,375,24.662,197.459,222.121
3,4,69,130,120,125,4761,15625,8625,1078125,595125,175,675,850,51.29,534.978,586.268
3,5,96,110,100,105,9216,11025,10080,1058400,967680,150,545,695,44.635,452.208,496.843
3,6,113,160,150,155,12769,24025,17515,2714825,1979195,155,1505,1660,52.366,2041.876,2094.242
3,7,139,180,165,172.5,19321,29756.25,23977.5,4136118.75,3332872.5,395,2415,2810,196.377,1868.936,2065.313
3,8,145,215,160,187.5,21025,35156.25,27187.5,5097656.25,3942187.5,525,4220,4745,134,3031.828,3272.718
3,9,175,180,170,175,30625,30625,30625,5359375,5359375,245,1930,2175,94.451,1472.957,1567.408
3,10,195,230,210,220,38025,48400,42900,9438000,8365500,640,6015,6655,230.232,3657.325,5037.781
3,11,295,265,240,252.5,87025,63756.25,74487.5,18808093.75,21973812.5,565,8385,8950,272.323,4476.545,6794.276
4,1,20,33,27,30,400,900,600,18000,12000,20,25,45,2.77,8.149,10.919
4,2,38,47,34,40.5,1444,1640.25,1539,62329.5,58482,25,75,100,7.498,27.724,35.222
4,3,50,86,68,77,2500,5929,3850,296450,192500,90,155,245,28.505,91.525,120.03
4,4,76,76,67,71.5,5776,5112.25,5434,388531,412984,180,275,455,43,207.044,271.284
