ESPECIES,DR,AR,IVI
Theobroma cacao L.,20.70,19.29,19.99
Citrus sinensis (L.) Osbeck,13.29,9.32,11.31
Cedrela odorata L.,13.77,7.40,10.58
Theobroma cacao L. var. tigre,7.68,8.68,8.18
Cordia alliodora (Ruiz & Pav.) Oken,7.04,3.86,5.45
Cocos nucifera L.,5.71,4.82,5.27
Musa paradisiaca L.,1.97,7.72,4.84
Inga inicuil (Kunth) DC,3.36,3.86,3.61
Persea schiedeana Nees,3.40,3.22,3.31
Litchi chinensis Sonn,2.93,3.54,3.23
Citrus reticulata Blanco,2.01,3.86,2.93
Musa acuminata Colla,1.01,4.82,2.92
Persea americana Mill.,2.69,1.93,2.31
Chamaedorea tepejilote Liebm.,0.59,3.86,2.22
Psidium friedrichsthalianum O. Berg.,1.74,2.57,2.16
Mangifera indica L. 'Manila',1.99,1.61,1.80
Inga vera Willd,1.39,1.61,1.50
Mangifera indica L. 'Petac¢n',1.41,1.29,1.35
Annona reticulata L.,1.26,0.96,1.11
Pouteria sapota (Jacq.) H.E. Moore & Stearn,0.43,1.61,1.02
Citrus limon (L.) Burm. f.,1.31,0.64,0.98
Tamarindus indica L.,0.84,0.96,0.90
Manilkara zapota (L.) P.Royen,1.13,0.64,0.89
Spondias mombin L.,1.13,0.64,0.89
Spondias purpurea L.,0.37,0.64,0.51
Byrsonima crassifolia (L.) Kunth.,0.42,0.32,0.37
Sideroxylon celastrinum (Kunth) T.D.Penn,0.41,0.32,0.37
